央视,#genre#
CCTV-4高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.163:5146
CCTV-4高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.166:5146
CCTV-4高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.78:5146
CCTV-4高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.163:5146
CCTV-4高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.166:5146
CCTV-4高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.78:5146
CCTV-4高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.163:5146
CCTV-4高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.166:5146
CCTV-4高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.78:5146
CCTV-4高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.163:5146
CCTV-4高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.166:5146
CCTV-4高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.78:5146
CCTV-4高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.163:5146
CCTV-4高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.166:5146
CCTV-4高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.78:5146
CCTV-4高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.163:5146
CCTV-4高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.78:5146
CCTV-4高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.166:5146
CCTV-5高清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.170:5146
CCTV-5高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.170:5146
CCTV-5超清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.177:5146
CCTV-5超清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.177:5146
CCTV-5+高清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.87:5146
CCTV-5+高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.31:5146
CCTV-5+高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.87:5146
CCTV-6高清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.171:5146
CCTV-6高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.171:5146
CCTV-6超清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.178:5146
CCTV-6超清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.178:5146
CCTV-7高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.159:5146
CCTV-7高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.167:5146
CCTV-7高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.159:5146
CCTV-7高清测试[1920*1080],http://113.100.72.213:8899/udp/239.77.0.138:5146
CCTV-7高清测试[1920*1080],http://113.67.165.237:8888/udp/239.77.0.138:5146
CCTV-7高清测试[1920*1080],http://113.116.43.148:5000/udp/239.77.0.138:5146
